Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
0801CS18,1,2008,CH101,8,DD,CORE
0801CS18,1,2008,CH110,3,BB,CORE
0801CS18,1,2008,EE101,8,DD,CORE
0801CS18,1,2008,HS101,6,CD,CORE
0801CS18,1,2008,MA101,8,DD,CORE
0801CS18,1,2008,ME111,7,CC,CORE
0801CS18,1,2008,PH101,6,DD,CORE
0801CS18,1,2008,PH110,3,BC,CORE
0801CS18,2,2008,CH102,6,DD,CORE
0801CS18,2,2008,CS101,6,CC,CORE
0801CS18,2,2008,CS110,3,CD,CORE
0801CS18,2,2008,EE102,4,DD,CORE
0801CS18,2,2008,MA102,8,DD,CORE
0801CS18,2,2008,ME101,8,DD,CORE
0801CS18,2,2008,ME110,3,BB,CORE
0801CS18,2,2008,PH102,6,CD,CORE
0801CS18,3,2009,CS201,9,CD,CORE
0801CS18,3,2009,CS203,6,BC,CORE
0801CS18,3,2009,CS221,6,DD,CORE
0801CS18,3,2009,EE220,8,DD,CORE
0801CS18,3,2009,HS201,6,CC,HS Elective
0801CS18,3,2009,MA201,8,DD,CORE
0801CS18,4,2009,CS204,6,BC,CORE
0801CS18,4,2009,CS222,6,DD,CORE
0801CS18,4,2009,CS223,3,CD,CORE
0801CS18,4,2009,CS241,7,BC,CORE
0801CS18,4,2009,CS242,5,BB,CORE
0801CS18,4,2009,HS223,6,CD,HS ELECTIVE
0801CS18,4,2009,MA225,8,CC,CORE
0801CS18,4,2009,MA251,6,DD,Elective-Sc.
0801CS18,5,2010,CS301,6,CD,CORE
0801CS18,5,2010,CS331,8,DD,CORE
0801CS18,5,2010,CS341,6,CC,CORE
0801CS18,5,2010,CS342,5,BC,CORE
0801CS18,5,2010,CS343,6,CD,CORE
0801CS18,5,2010,CS344,6,DD,CORE
0801CS18,5,2010,CS345,5,CC,CORE
0801CS18,6,2010,CS302,6,DD,CORE
0801CS18,6,2010,CS346,6,DD,CORE
0801CS18,6,2010,CS347,3,BC,CORE
0801CS18,6,2010,CS348,8,DD,CORE
0801CS18,6,2010,CS362,8,DD,CORE
0801CS18,6,2010,CS399,3,AB,CORE
0801CS18,6,2010,HS331,6,CD,HS Elective
0801CS18,7,2011,CS400,2,BB,CORE
0801CS18,7,2011,CS421,6,DD,CORE
0801CS18,7,2011,CS422,5,DD,CORE
0801CS18,7,2011,CS443,6,BB,DEPARTMENTAL ELECTIVE - II
0801CS18,7,2011,CS461,6,BC,DEPARTMENTAL ELECTIVE - I
0801CS18,7,2011,CS498,10,CC,CORE
0801CS18,7,2011,PH401,6,BC,OPEN ELECTIVE - I
0801CS18,8,2011,CS452,6,CD,Departmental Elective - III
0801CS18,8,2011,CS453,6,BB,Departmental Elective - IV
0801CS18,8,2011,CS499,16,BC,CORE
0801CS18,8,2011,HS441,6,CC,HSS Elective
0801CS18,8,2011,PH403,6,AB,Open Elective - II
