Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
0801CS09,1,2008,CH101,8,BC,CORE
0801CS09,1,2008,CH110,3,BB,CORE
0801CS09,1,2008,EE101,8,CC,CORE
0801CS09,1,2008,HS101,6,BB,CORE
0801CS09,1,2008,MA101,8,CC,CORE
0801CS09,1,2008,ME111,7,BC,CORE
0801CS09,1,2008,PH101,6,CC,CORE
0801CS09,1,2008,PH110,3,AB,CORE
0801CS09,2,2008,CH102,6,CC,CORE
0801CS09,2,2008,CS101,6,CD,CORE
0801CS09,2,2008,CS110,3,BC,CORE
0801CS09,2,2008,EE102,4,BC,CORE
0801CS09,2,2008,MA102,8,BC,CORE
0801CS09,2,2008,ME101,8,CD,CORE
0801CS09,2,2008,ME110,3,BB,CORE
0801CS09,2,2008,PH102,6,CD,CORE
0801CS09,3,2009,CS201,9,BC,CORE
0801CS09,3,2009,CS203,6,AB,CORE
0801CS09,3,2009,CS221,6,BC,CORE
0801CS09,3,2009,EE220,8,CC,CORE
0801CS09,3,2009,HS201,6,BC,HS Elective
0801CS09,3,2009,MA201,8,BC,CORE
0801CS09,4,2009,CS204,6,BB,CORE
0801CS09,4,2009,CS222,6,CD,CORE
0801CS09,4,2009,CS223,3,BC,CORE
0801CS09,4,2009,CS241,7,BC,CORE
0801CS09,4,2009,CS242,5,AB,CORE
0801CS09,4,2009,HS211,6,BB,HS ELECTIVE
0801CS09,4,2009,MA225,8,CC,CORE
0801CS09,4,2009,MA251,6,BC,Elective-Sc.
0801CS09,5,2010,CS301,6,AB,CORE
0801CS09,5,2010,CS331,8,BC,CORE
0801CS09,5,2010,CS341,6,BB,CORE
0801CS09,5,2010,CS342,5,BB,CORE
0801CS09,5,2010,CS343,6,BB,CORE
0801CS09,5,2010,CS344,6,CC,CORE
0801CS09,5,2010,CS345,5,BB,CORE
0801CS09,6,2010,CS302,6,BC,CORE
0801CS09,6,2010,CS346,6,BB,CORE
0801CS09,6,2010,CS347,3,AB,CORE
0801CS09,6,2010,CS348,8,BC,CORE
0801CS09,6,2010,CS362,8,BC,CORE
0801CS09,6,2010,CS399,3,AB,CORE
0801CS09,6,2010,HS331,6,BB,HS Elective
0801CS09,7,2011,CS400,2,AB,CORE
0801CS09,7,2011,CS421,6,CC,CORE
0801CS09,7,2011,CS422,5,BB,CORE
0801CS09,7,2011,CS443,6,BB,DEPARTMENTAL ELECTIVE - II
0801CS09,7,2011,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0801CS09,7,2011,CS498,10,AB,CORE
0801CS09,7,2011,MA410,6,AB,OPEN ELECTIVE - I
0801CS09,8,2011,CS452,6,CC,Departmental Elective - IV
0801CS09,8,2011,CS453,6,BB,Departmental Elective - III
0801CS09,8,2011,CS499,16,BB,CORE
0801CS09,8,2011,HS441,6,AB,HSS Elective
0801CS09,8,2011,MA412,6,BC,Open Elective - II
