Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1211MT09,1,2012,EE501,6,AA,ELECTIVE
1211MT09,1,2012,ME501,6,AA,ELECTIVE
1211MT09,1,2012,ME503,6,BB,ELECTIVE
1211MT09,1,2012,SE501,6,BB,ELECTIVE
1211MT09,1,2012,SE503,6,BB,ELECTIVE
1211MT09,1,2012,SE505,6,AB,ELECTIVE
1211MT09,1,2012,SE507,4,AB,ELECTIVE
1211MT09,2,2012,EE508,6,BB,ELECTIVE
1211MT09,2,2012,ME512,6,DD,ELECTIVE
1211MT09,2,2012,PH515,6,BC,ELECTIVE
1211MT09,2,2012,SE502,6,BB,CORE
1211MT09,2,2012,SE504,6,AB,CORE
1211MT09,2,2012,SE506,6,BB,CORE
1211MT09,2,2012,SE508,4,CC,CORE
1211MT09,3,2013,SE600,10,AA,CORE
1211MT09,3,2013,SE601,40,BB,CORE
1211MT09,4,2014,SE602,45,BB,CORE
