Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1201CS01,1,2012,CH101,8,AB,CORE
1201CS01,1,2012,CH110,3,BC,CORE
1201CS01,1,2012,EE101,8,BC,CORE
1201CS01,1,2012,HS101,6,AB,CORE
1201CS01,1,2012,MA101,8,CC,CORE
1201CS01,1,2012,ME110,3,BB,CORE
1201CS01,1,2012,ME111,7,AB,CORE
1201CS01,1,2012,PH101,6,BC,CORE
1201CS01,2,2012,CH102,6,BB,CORE
1201CS01,2,2012,CS101,6,BB,CORE
1201CS01,2,2012,CS110,3,BC,CORE
1201CS01,2,2012,EE102,4,AB,CORE
1201CS01,2,2012,MA102,8,CC,CORE
1201CS01,2,2012,ME101,8,BC,CORE
1201CS01,2,2012,PH102,6,CD,CORE
1201CS01,2,2012,PH110,3,BB,CORE
1201CS01,3,2013,CS201,9,CC,CORE
1201CS01,3,2013,CS203,6,BC,CORE
1201CS01,3,2013,CS221,6,CC,CORE
1201CS01,3,2013,EE220,8,BB,CORE
1201CS01,3,2013,HS241,6,BB,HS Elective
1201CS01,3,2013,MA201,8,BC,CORE
1201CS01,4,2014,CS204,6,BC,CORE
1201CS01,4,2014,CS222,6,CD,CORE
1201CS01,4,2014,CS223,3,BC,CORE
1201CS01,4,2014,CS241,7,BB,CORE
1201CS01,4,2014,CS242,5,CD,CORE
1201CS01,4,2014,HS202,6,CC,HS Elective
1201CS01,4,2014,MA225,8,CC,CORE
1201CS01,4,2014,MA251,6,BC,Science Elective
1201CS01,5,2014,CS301,6,DD,CORE
1201CS01,5,2014,CS331,8,CC,CORE
1201CS01,5,2014,CS341,6,CC,CORE
1201CS01,5,2014,CS342,5,BC,CORE
1201CS01,5,2014,CS343,6,DD,CORE
1201CS01,5,2014,CS344,6,CC,CORE
1201CS01,5,2014,CS345,5,BB,CORE
1201CS01,5,2014,HS351,6,BC,Open Elective
1201CS01,6,2015,CS302,6,CC,CORE
1201CS01,6,2015,CS346,6,DD,CORE
1201CS01,6,2015,CS347,3,CC,CORE
1201CS01,6,2015,CS348,8,CD,CORE
1201CS01,6,2015,CS362,8,CC,CORE
1201CS01,6,2015,CS399,3,BC,CORE
1201CS01,6,2015,HS311,6,CD,HS Elective
1201CS01,7,2015,CS400,2,BC,CORE
1201CS01,7,2015,CS421,6,DD,CORE
1201CS01,7,2015,CS422,5,BB,CORE
1201CS01,7,2015,CS498,10,CD,CORE
1201CS01,7,2015,CS508,6,BC,Departmental Elective - II
1201CS01,7,2015,CS561,6,CD,Departmental Elective - I
1201CS01,7,2015,MA511,6,DD,Open Elective - I
1201CS01,8,2016,CS499,16,BB,CORE
1201CS01,8,2016,CS543,6,CD,Departmental Elective III
1201CS01,8,2016,CS549,6,CD,Departmental Elective IV
1201CS01,8,2016,CS564,6,DD,Open Electives II
1201CS01,8,2016,HS441,6,BC,HSS Electives
